,density,parejas,unhappy,hombres,mujeres
0,0.1,0,0,113,126
1,0.1,8,0,105,118
2,0.1,11,0,102,115
3,0.1,17,0,96,109
4,0.1,24,0,89,102
5,0.1,29,0,84,97
6,0.1,32,0,81,94
7,0.1,33,0,80,93
8,0.1,34,0,79,92
9,0.1,38,0,75,88
10,0.1,44,0,69,82
11,0.1,44,7,66,78
12,0.1,44,9,65,77
13,0.1,45,11,64,74
14,0.1,46,18,61,68
15,0.1,47,24,57,64
16,0.1,49,31,54,56
17,0.1,50,43,47,49
18,0.1,50,49,43,47
19,0.1,51,53,38,46
20,0.1,51,62,35,40
21,0.1,51,68,33,36
22,0.1,51,77,28,32
23,0.1,51,81,26,30
24,0.1,51,86,25,26
25,0.1,51,90,24,23
26,0.1,51,95,21,21
27,0.1,51,108,15,14
28,0.1,51,115,11,11
29,0.1,51,122,6,9
30,0.1,51,130,4,3
31,0.1,51,137,0,0
