,density,parejas,unhappy,hombres,mujeres
0,0.1,0,0,122,117
1,0.1,2,0,120,115
2,0.1,2,0,120,115
3,0.1,2,0,120,115
4,0.1,2,0,120,115
5,0.1,2,0,120,115
6,0.1,2,0,120,115
7,0.1,2,0,120,115
8,0.1,2,0,120,115
9,0.1,3,0,119,114
10,0.1,3,0,119,114
11,0.1,3,12,113,108
12,0.1,3,25,106,102
13,0.1,3,38,100,95
14,0.1,4,47,96,88
15,0.1,4,63,86,82
16,0.1,4,68,82,81
17,0.1,4,79,76,76
18,0.1,4,90,70,71
19,0.1,4,104,63,64
20,0.1,4,112,57,62
21,0.1,4,131,47,53
22,0.1,4,140,43,48
23,0.1,4,147,40,44
24,0.1,4,165,35,31
25,0.1,4,182,26,23
26,0.1,4,193,20,18
27,0.1,4,204,15,12
28,0.1,4,207,14,10
29,0.1,4,211,13,7
30,0.1,4,219,8,4
31,0.1,4,231,0,0
