,density,parejas,unhappy,hombres,mujeres
0,0.1,0,0,153,75
1,0.1,3,0,150,72
2,0.1,4,0,149,71
3,0.1,5,0,148,70
4,0.1,9,0,144,66
5,0.1,9,0,144,66
6,0.1,11,0,142,64
7,0.1,14,0,139,61
8,0.1,15,0,138,60
9,0.1,16,0,137,59
10,0.1,16,0,137,59
11,0.1,16,7,134,55
12,0.1,17,17,126,51
13,0.1,18,29,116,47
14,0.1,18,44,107,41
15,0.1,19,50,104,36
16,0.1,19,55,100,35
17,0.1,19,69,88,33
18,0.1,19,79,80,31
19,0.1,19,91,72,27
20,0.1,19,99,67,24
21,0.1,19,104,62,24
22,0.1,19,115,53,22
23,0.1,19,124,47,19
24,0.1,19,129,43,18
25,0.1,20,142,33,13
26,0.1,20,151,27,10
27,0.1,20,158,21,9
28,0.1,20,167,16,5
29,0.1,20,172,11,5
30,0.1,20,177,7,4
31,0.1,20,188,0,0
